AccessionNumber,PlantingNumber,Position,Latitude,Longitude,SurveyDatePossiblyDead,PossiblyDead,SurveyDateDead,Dead
2021-2168,4,1,33.65779,-93.17231,7/25/2023 14:14,FALSE,9/19/2023,TRUE
2021-2138,7,2,32.89079,-92.3645,7/25/2023 14:17,FALSE,9/19/2023,FALSE
2021-2173,4,3,33.78853,-93.64414,7/25/2023 14:28,FALSE,9/19/2023,FALSE
2021-2175,5,4,33.71162,-92.99704,7/25/2023 14:31,FALSE,9/19/2023,FALSE
2021-2144,7,5,32.8913,-92.3648,7/25/2023 14:35,FALSE,9/19/2023,FALSE
2021-2146,2,6,32.99102,-94.01869,7/25/2023 14:52,TRUE,9/19/2023,TRUE
2021-2154,7,7,33.73685,-93.8604,7/25/2023 14:55,TRUE,9/19/2023,TRUE
2021-2136,7,8,32.89223,-92.36307,7/25/2023 15:01,TRUE,9/19/2023,TRUE
2021-2144,3,9,32.8913,-92.3648,7/25/2023 15:07,TRUE,9/19/2023,TRUE
2021-2160,5,10,33.76776,-93.6483,7/25/2023 15:10,FALSE,9/19/2023,FALSE
2021-2142,10,11,32.89142,-92.36463,7/25/2023 15:13,TRUE,9/19/2023,TRUE
2021-2169,8,12,33.67945,-93.16628,7/25/2023 15:16,FALSE,9/19/2023,FALSE
2021-2142,9,13,32.89142,-92.36463,7/25/2023 15:18,FALSE,9/19/2023,FALSE
2021-2156,3,14,33.73705,-93.86183,7/25/2023 15:14,FALSE,9/19/2023,FALSE
2021-2170,4,15,33.6862,-93.11632,7/25/2023 15:12,TRUE,9/19/2023,TRUE
2021-2166,2,16,33.65819,-93.17102,7/25/2023 15:08,TRUE,9/19/2023,TRUE
2021-2136,8,17,32.89223,-92.36307,7/25/2023 15:02,TRUE,9/19/2023,TRUE
2021-2168,3,18,33.65779,-93.17231,7/25/2023 14:57,FALSE,9/19/2023,FALSE
2021-2129,6,19,32.89208,-92.36302,7/25/2023 14:53,FALSE,9/19/2023,FALSE
2021-2167,4,20,33.65793,-93.17241,7/25/2023 14:37,FALSE,9/19/2023,FALSE
2021-2131,6,21,32.8922,-92.36298,7/25/2023 14:34,FALSE,9/19/2023,FALSE
2021-2164,9,22,33.76945,-93.64848,7/25/2023 14:30,TRUE,9/19/2023,TRUE
2021-2143,5,23,32.8914,-92.36477,7/25/2023 14:21,FALSE,9/19/2023,FALSE
2021-2171,5,24,33.68607,-93.11569,7/25/2023 14:16,TRUE,9/19/2023,TRUE
2021-2142,3,25,32.89142,-92.36463,7/25/2023 16:20,TRUE,9/19/2023,TRUE
2021-2165,2,26,33.76896,-93.64891,7/25/2023 16:18,FALSE,9/19/2023,TRUE
2021-2136,9,27,32.89223,-92.36307,7/25/2023 16:17,TRUE,9/19/2023,TRUE
2021-2132,2,28,32.89226,-92.36326,7/25/2023 16:15,TRUE,9/19/2023,TRUE
2021-2154,4,29,33.73685,-93.8604,7/25/2023 16:12,FALSE,9/19/2023,FALSE
2021-2143,7,30,32.8914,-92.36477,7/25/2023 16:07,FALSE,9/19/2023,TRUE
2021-2173,3,31,33.78853,-93.64414,7/25/2023 16:02,FALSE,9/19/2023,FALSE
2021-2134,7,32,32.89236,-92.3632,7/25/2023 15:57,FALSE,9/19/2023,FALSE
2021-2129,9,33,32.89208,-92.36302,7/25/2023 15:52,FALSE,9/19/2023,FALSE
2021-2163,8,34,33.76951,-93.64831,7/25/2023 15:46,FALSE,9/19/2023,FALSE
2021-2175,4,35,33.71162,-92.99704,7/25/2023 15:27,FALSE,9/19/2023,FALSE
2021-2156,4,36,33.73705,-93.86183,7/25/2023 15:21,TRUE,9/19/2023,TRUE
2021-2149,2,37,32.99102,-94.01688,7/25/2023 15:23,TRUE,9/19/2023,TRUE
2021-2140,2,38,32.89091,-92.36468,7/25/2023 15:43,FALSE,9/19/2023,FALSE
2021-2132,8,39,32.89226,-92.36326,7/25/2023 15:50,TRUE,9/19/2023,TRUE
2021-2169,5,40,33.67945,-93.16628,7/25/2023 15:55,TRUE,9/19/2023,TRUE
2021-2172,7,41,33.70817,-93.08442,7/25/2023 16:00,FALSE,9/19/2023,FALSE
2021-2131,5,42,32.8922,-92.36298,7/25/2023 16:05,TRUE,9/19/2023,TRUE
2021-2172,2,43,33.70817,-93.08442,7/25/2023 16:10,TRUE,9/19/2023,TRUE
2021-2164,2,44,33.76945,-93.64848,7/25/2023 16:14,TRUE,9/19/2023,TRUE
2021-2145,4,45,32.89137,-92.36497,7/25/2023 16:17,TRUE,9/19/2023,TRUE
2021-2129,3,46,32.89208,-92.36302,7/25/2023 16:18,TRUE,9/19/2023,TRUE
2021-2167,6,47,33.65793,-93.17241,7/25/2023 16:20,TRUE,9/19/2023,TRUE
2021-2164,7,48,33.76945,-93.64848,7/25/2023 16:22,FALSE,9/19/2023,FALSE
2021-2128,3,49,31.64054,-89.55792,7/25/2023 13:58,FALSE,9/19/2023,FALSE
2021-2128,7,50,31.64054,-89.55792,7/25/2023 13:54,FALSE,9/19/2023,FALSE
2021-2154,3,51,33.73685,-93.8604,7/25/2023 13:51,FALSE,9/19/2023,FALSE
2021-2139,2,52,32.89093,-92.36458,7/25/2023 13:50,TRUE,9/19/2023,TRUE
2021-2171,2,53,33.68607,-93.11569,7/25/2023 13:48,TRUE,9/19/2023,TRUE
2021-2155,5,54,33.7368,-93.8604,7/25/2023 13:45,FALSE,9/19/2023,FALSE
2021-2135,7,55,32.89231,-92.36312,7/25/2023 13:43,FALSE,9/19/2023,FALSE
2021-2169,3,56,33.67945,-93.16628,7/25/2023 13:41,FALSE,9/19/2023,FALSE
2021-2168,7,57,33.65779,-93.17231,7/25/2023 13:40,TRUE,9/19/2023,TRUE
2021-2160,4,58,33.76776,-93.6483,7/25/2023 13:35,FALSE,9/19/2023,FALSE
2021-2173,2,59,33.78853,-93.64414,7/25/2023 15:44,FALSE,9/19/2023,FALSE
2021-2156,8,60,33.73705,-93.86183,7/25/2023 15:24,TRUE,9/19/2023,TRUE
2021-2129,5,61,32.89208,-92.36302,7/25/2023 14:42,FALSE,9/19/2023,FALSE
2021-2144,4,62,32.8913,-92.3648,7/25/2023 14:39,TRUE,9/19/2023,TRUE
2021-2175,6,63,33.71162,-92.99704,7/25/2023 14:34,FALSE,9/19/2023,FALSE
2021-2132,7,64,32.89226,-92.36326,7/25/2023 14:31,FALSE,9/19/2023,FALSE
2021-2144,5,65,32.8913,-92.3648,7/25/2023 14:26,FALSE,9/19/2023,FALSE
2021-2139,5,66,32.89093,-92.36458,7/25/2023 14:24,FALSE,9/19/2023,FALSE
2021-2138,2,67,32.89079,-92.3645,7/25/2023 14:20,TRUE,9/19/2023,TRUE
2021-2175,3,68,33.71162,-92.99704,7/25/2023 14:17,TRUE,9/19/2023,TRUE
2021-2130,3,69,32.89212,-92.36307,7/25/2023 14:14,FALSE,9/19/2023,FALSE
2021-2145,3,70,32.89137,-92.36497,7/25/2023 14:09,FALSE,9/19/2023,FALSE
2021-2164,5,71,33.76945,-93.64848,7/25/2023 14:06,TRUE,9/19/2023,TRUE
2021-2167,5,72,33.65793,-93.17241,7/25/2023 14:03,FALSE,9/19/2023,FALSE
2021-2134,6,73,32.89236,-92.3632,7/25/2023 14:04,TRUE,9/19/2023,TRUE
2021-2136,5,74,32.89223,-92.36307,7/25/2023 14:07,FALSE,9/19/2023,FALSE
2021-2143,2,75,32.8914,-92.36477,7/25/2023 14:12,FALSE,9/19/2023,FALSE
2021-2170,6,76,33.6862,-93.11632,7/25/2023 14:16,FALSE,9/19/2023,FALSE
2021-2167,7,77,33.65793,-93.17241,7/25/2023 14:19,TRUE,9/19/2023,TRUE
2021-2160,10,78,33.76776,-93.6483,7/25/2023 14:22,FALSE,9/19/2023,FALSE
2021-2171,6,79,33.68607,-93.11569,7/25/2023 14:25,FALSE,9/19/2023,TRUE
2021-2159,4,80,33.76846,-93.64827,7/25/2023 14:30,FALSE,9/19/2023,FALSE
2021-2165,5,81,33.76896,-93.64891,7/25/2023 14:33,TRUE,9/19/2023,TRUE
2021-2132,6,82,32.89226,-92.36326,7/25/2023 14:37,FALSE,9/19/2023,FALSE
2021-2155,7,83,33.7368,-93.8604,7/25/2023 14:40,FALSE,9/19/2023,FALSE
2021-2130,7,84,32.89212,-92.36307,7/25/2023 14:44,TRUE,9/19/2023,TRUE
2021-2165,3,85,33.76896,-93.64891,7/25/2023 14:51,FALSE,9/19/2023,FALSE
2021-2129,2,86,32.89208,-92.36302,7/25/2023 14:58,FALSE,9/19/2023,FALSE
2021-2169,4,87,33.67945,-93.16628,7/25/2023 15:02,FALSE,9/19/2023,FALSE
2021-2142,6,88,32.89142,-92.36463,7/25/2023 15:06,TRUE,9/19/2023,TRUE
2021-2165,4,89,33.76896,-93.64891,7/25/2023 15:07,TRUE,9/19/2023,TRUE
2021-2142,5,90,32.89142,-92.36463,7/25/2023 15:08,FALSE,9/19/2023,FALSE
2021-2172,6,91,33.70817,-93.08442,7/25/2023 15:22,TRUE,9/19/2023,TRUE
2021-2150,4,92,32.99099,-94.01617,7/25/2023 15:13,FALSE,9/19/2023,FALSE
2021-2130,2,93,32.89212,-92.36307,7/25/2023 15:15,TRUE,9/19/2023,TRUE
2021-2169,6,94,33.67945,-93.16628,7/25/2023 15:16,FALSE,9/19/2023,FALSE
2021-2165,7,95,33.76896,-93.64891,7/25/2023 15:18,TRUE,9/19/2023,TRUE
2021-2129,4,96,32.89208,-92.36302,7/25/2023 15:19,TRUE,9/19/2023,TRUE
2021-2132,5,97,32.89226,-92.36326,7/25/2023 15:20,TRUE,9/19/2023,TRUE
2021-2131,2,98,32.8922,-92.36298,7/25/2023 15:21,TRUE,9/19/2023,TRUE
2021-2142,11,99,32.89142,-92.36463,7/25/2023 15:22,FALSE,9/19/2023,FALSE
2021-2155,4,100,33.7368,-93.8604,7/25/2023 15:24,FALSE,9/19/2023,FALSE
2021-2139,11,101,32.89093,-92.36458,7/26/2023 7:59,FALSE,9/19/2023,FALSE
2021-2170,5,102,33.6862,-93.11632,7/26/2023 8:15,FALSE,9/19/2023,FALSE
2021-2163,4,103,33.76951,-93.64831,7/26/2023 8:20,FALSE,9/19/2023,FALSE
2021-2158,5,104,33.76862,-93.64829,7/26/2023 8:24,FALSE,9/19/2023,FALSE
2021-2163,5,105,33.76951,-93.64831,7/26/2023 8:27,TRUE,9/19/2023,TRUE
2021-2144,6,106,32.8913,-92.3648,7/26/2023 8:29,FALSE,9/19/2023,FALSE
2021-2153,4,107,33.73726,-93.86207,7/26/2023 8:33,FALSE,9/19/2023,FALSE
2021-2155,6,108,33.7368,-93.8604,7/26/2023 8:37,TRUE,9/19/2023,TRUE
2021-2130,8,109,32.89212,-92.36307,7/26/2023 8:38,FALSE,9/19/2023,TRUE
2021-2156,2,110,33.73705,-93.86183,7/26/2023 8:35,FALSE,9/19/2023,FALSE
2021-2145,7,111,32.89137,-92.36497,7/26/2023 8:31,FALSE,9/19/2023,FALSE
2021-2171,4,112,33.68607,-93.11569,7/26/2023 8:28,FALSE,9/19/2023,TRUE
2021-2164,8,113,33.76945,-93.64848,7/26/2023 8:25,FALSE,9/19/2023,FALSE
2021-2139,7,114,32.89093,-92.36458,7/26/2023 8:22,FALSE,9/19/2023,FALSE
2021-2170,2,115,33.6862,-93.11632,7/26/2023 8:16,FALSE,9/19/2023,FALSE
2021-2163,2,116,33.76951,-93.64831,7/26/2023 8:02,FALSE,9/19/2023,FALSE
2021-2157,6,117,33.76944,-93.64815,7/26/2023 8:04,FALSE,9/19/2023,FALSE
2021-2128,2,118,31.64054,-89.55792,7/26/2023 8:08,FALSE,9/19/2023,FALSE
2021-2139,8,119,32.89093,-92.36458,7/26/2023 8:10,FALSE,9/19/2023,FALSE
2021-2145,5,120,32.89137,-92.36497,7/26/2023 8:12,TRUE,9/19/2023,TRUE
2021-2160,3,121,33.76776,-93.6483,7/26/2023 9:12,FALSE,9/19/2023,FALSE
2021-2150,3,122,32.99099,-94.01617,7/26/2023 9:07,FALSE,9/19/2023,FALSE
2021-2130,4,123,32.89212,-92.36307,7/26/2023 9:06,FALSE,9/19/2023,FALSE
2021-2150,2,124,32.99099,-94.01617,7/26/2023 9:03,FALSE,9/19/2023,FALSE
2021-2145,2,125,32.89137,-92.36497,7/26/2023 8:59,FALSE,9/19/2023,FALSE
2021-2169,2,126,33.67945,-93.16628,7/26/2023 8:52,FALSE,9/19/2023,FALSE
2021-2153,5,127,33.73726,-93.86207,7/26/2023 8:51,FALSE,9/19/2023,FALSE
2021-2131,7,128,32.8922,-92.36298,7/26/2023 8:48,FALSE,9/19/2023,FALSE
2021-2156,6,129,33.73705,-93.86183,7/26/2023 8:47,FALSE,9/19/2023,FALSE
2021-2157,2,130,33.76944,-93.64815,7/26/2023 8:45,TRUE,9/19/2023,TRUE
2021-2158,6,131,33.76862,-93.64829,7/26/2023 8:42,FALSE,9/19/2023,FALSE
2021-2159,2,132,33.76846,-93.64827,7/26/2023 8:40,TRUE,9/19/2023,TRUE
2021-2165,6,133,33.76896,-93.64891,7/26/2023 9:56,FALSE,9/19/2023,FALSE
2021-2158,2,134,33.76862,-93.64829,7/26/2023 9:55,TRUE,9/19/2023,TRUE
2021-2160,6,135,33.76776,-93.6483,7/26/2023 9:52,FALSE,9/19/2023,FALSE
2021-2139,6,136,32.89093,-92.36458,7/26/2023 9:49,TRUE,9/19/2023,TRUE
2021-2129,8,137,32.89208,-92.36302,7/26/2023 9:46,TRUE,9/19/2023,TRUE
2021-2135,4,138,32.89231,-92.36312,7/26/2023 9:42,FALSE,9/19/2023,FALSE
2021-2166,7,139,33.65819,-93.17102,7/26/2023 9:36,TRUE,9/19/2023,TRUE
2021-2150,5,140,32.99099,-94.01617,7/26/2023 9:32,FALSE,9/19/2023,FALSE
2021-2131,8,141,32.8922,-92.36298,7/26/2023 9:30,TRUE,9/19/2023,TRUE
2021-2143,6,142,32.8914,-92.36477,7/26/2023 9:23,FALSE,9/19/2023,FALSE
2021-2147,2,143,32.99099,-94.01818,7/26/2023 9:18,TRUE,9/19/2023,TRUE
2021-2166,5,144,33.65819,-93.17102,7/26/2023 9:16,FALSE,9/19/2023,FALSE
2021-2156,5,145,33.73705,-93.86183,7/26/2023 9:19,FALSE,9/19/2023,FALSE
2021-2131,3,146,32.8922,-92.36298,7/26/2023 9:21,TRUE,9/19/2023,TRUE
2021-2143,3,147,32.8914,-92.36477,7/26/2023 9:25,FALSE,9/19/2023,FALSE
2021-2163,6,148,33.76951,-93.64831,7/26/2023 9:31,TRUE,9/19/2023,TRUE
2021-2140,3,149,32.89091,-92.36468,7/26/2023 9:34,TRUE,9/19/2023,TRUE
2021-2128,6,150,31.64054,-89.55792,7/26/2023 9:37,FALSE,9/19/2023,FALSE
2021-2154,2,151,33.73685,-93.8604,7/26/2023 9:44,FALSE,9/19/2023,FALSE
2021-2134,2,152,32.89236,-92.3632,7/26/2023 9:47,FALSE,9/19/2023,FALSE
2021-2132,3,153,32.89226,-92.36326,7/26/2023 9:51,FALSE,9/19/2023,FALSE
2021-2138,3,154,32.89079,-92.3645,7/26/2023 9:54,TRUE,9/19/2023,TRUE
2021-2136,6,155,32.89223,-92.36307,7/26/2023 9:55,TRUE,9/19/2023,TRUE
2021-2134,3,156,32.89236,-92.3632,7/26/2023 9:57,FALSE,9/19/2023,FALSE
2021-2175,7,157,33.71162,-92.99704,7/26/2023 10:00,FALSE,9/19/2023,FALSE
2021-2139,3,158,32.89093,-92.36458,7/26/2023 10:03,FALSE,9/19/2023,FALSE
2021-2132,4,159,32.89226,-92.36326,7/26/2023 10:13,FALSE,9/19/2023,FALSE
2021-2170,3,160,33.6862,-93.11632,7/26/2023 10:20,TRUE,9/19/2023,TRUE
2021-2135,6,161,32.89231,-92.36312,7/26/2023 10:21,TRUE,9/19/2023,TRUE
2021-2144,2,162,32.8913,-92.3648,7/26/2023 10:22,TRUE,9/19/2023,TRUE
2021-2168,6,163,33.65779,-93.17231,7/26/2023 10:23,TRUE,9/19/2023,TRUE
2021-2153,2,164,33.73726,-93.86207,7/26/2023 10:24,TRUE,9/19/2023,TRUE
2021-2166,4,165,33.65819,-93.17102,7/26/2023 10:26,FALSE,9/19/2023,FALSE
2021-2154,5,166,33.73685,-93.8604,7/26/2023 10:27,TRUE,9/19/2023,TRUE
2021-2139,4,167,32.89093,-92.36458,7/26/2023 10:28,TRUE,9/19/2023,TRUE
2021-2157,7,168,33.76944,-93.64815,7/26/2023 10:29,FALSE,9/19/2023,FALSE
2021-2172,3,169,33.70817,-93.08442,7/26/2023 10:31,FALSE,9/19/2023,FALSE
2021-2131,9,170,32.8922,-92.36298,7/26/2023 10:32,FALSE,9/19/2023,FALSE
2021-2138,8,171,32.89079,-92.3645,8/3/2023 14:59,TRUE,9/19/2023,TRUE
2021-2163,3,172,33.76951,-93.64831,7/26/2023 10:40,TRUE,9/19/2023,TRUE
2021-2169,7,173,33.67945,-93.16628,7/26/2023 10:43,FALSE,9/19/2023,FALSE
2021-2130,5,174,32.89212,-92.36307,7/26/2023 10:52,TRUE,9/19/2023,TRUE
2021-2136,12,175,32.89223,-92.36307,7/26/2023 10:55,TRUE,9/19/2023,TRUE
2021-2135,8,176,32.89231,-92.36312,7/26/2023 10:58,TRUE,9/19/2023,TRUE
2021-2128,4,177,31.64054,-89.55792,7/26/2023 11:00,TRUE,9/19/2023,TRUE
2021-2163,7,178,33.76951,-93.64831,7/26/2023 11:04,TRUE,9/19/2023,TRUE
2021-2167,3,179,33.65793,-93.17241,7/26/2023 11:06,TRUE,9/19/2023,TRUE
2021-2150,6,180,32.99099,-94.01617,7/26/2023 11:08,FALSE,9/19/2023,FALSE
2021-2162,2,181,33.76951,-93.64893,7/26/2023 11:10,FALSE,9/19/2023,FALSE
2021-2164,3,182,33.76945,-93.64848,7/26/2023 11:07,TRUE,9/19/2023,TRUE
2021-2158,4,183,33.76862,-93.64829,7/26/2023 11:05,TRUE,9/19/2023,TRUE
2021-2160,2,184,33.76776,-93.6483,7/26/2023 11:02,FALSE,9/19/2023,FALSE
2021-2171,7,185,33.68607,-93.11569,7/26/2023 10:59,FALSE,9/19/2023,FALSE
2021-2163,9,186,33.76951,-93.64831,7/26/2023 10:56,FALSE,9/19/2023,FALSE
2021-2168,8,187,33.65779,-93.17231,7/26/2023 10:53,FALSE,9/19/2023,FALSE
2021-2175,2,188,33.71162,-92.99704,7/26/2023 10:47,TRUE,9/19/2023,TRUE
2021-2168,5,189,33.65779,-93.17231,7/26/2023 10:41,FALSE,9/19/2023,FALSE
2021-2142,2,190,32.89142,-92.36463,7/26/2023 10:37,FALSE,9/19/2023,FALSE
2021-2134,5,191,32.89236,-92.3632,7/26/2023 10:36,FALSE,9/19/2023,FALSE
2021-2156,7,192,33.73705,-93.86183,7/26/2023 10:35,TRUE,9/19/2023,TRUE
2021-2136,11,193,32.89223,-92.36307,7/26/2023 11:14,FALSE,9/19/2023,FALSE
2021-2157,4,194,33.76944,-93.64815,7/26/2023 11:19,FALSE,9/19/2023,FALSE
2021-2166,3,195,33.65819,-93.17102,7/26/2023 11:21,TRUE,9/19/2023,TRUE
2021-2134,4,196,32.89236,-92.3632,7/26/2023 11:26,FALSE,9/19/2023,FALSE
2021-2138,5,197,32.89079,-92.3645,7/26/2023 11:30,TRUE,9/19/2023,TRUE
2021-2160,9,198,33.76776,-93.6483,7/26/2023 11:31,FALSE,9/19/2023,FALSE
2021-2136,4,199,32.89223,-92.36307,7/26/2023 11:35,FALSE,9/19/2023,TRUE
2021-2142,7,200,32.89142,-92.36463,7/26/2023 11:37,FALSE,9/19/2023,FALSE
2021-2135,10,201,32.89231,-92.36312,7/26/2023 11:39,TRUE,9/19/2023,TRUE
2021-2136,10,202,32.89223,-92.36307,7/26/2023 11:40,FALSE,9/19/2023,FALSE
2021-2135,2,203,32.89231,-92.36312,7/26/2023 11:43,FALSE,9/19/2023,FALSE
2021-2160,8,204,33.76776,-93.6483,7/26/2023 11:45,FALSE,9/19/2023,FALSE
2021-2164,4,205,33.76945,-93.64848,7/26/2023 12:14,TRUE,9/19/2023,TRUE
2021-2145,6,206,32.89137,-92.36497,7/26/2023 12:12,TRUE,9/19/2023,TRUE
2021-2133,2,207,32.89234,-92.36327,7/26/2023 12:09,FALSE,9/19/2023,FALSE
2021-2138,4,208,32.89079,-92.3645,7/26/2023 12:07,TRUE,9/19/2023,TRUE
2021-2142,8,209,32.89142,-92.36463,7/26/2023 12:06,TRUE,9/19/2023,TRUE
2021-2139,9,210,32.89093,-92.36458,7/26/2023 12:03,TRUE,9/19/2023,TRUE
2021-2171,3,211,33.68607,-93.11569,7/26/2023 11:58,FALSE,9/19/2023,FALSE
2021-2153,3,212,33.73726,-93.86207,7/26/2023 11:57,TRUE,9/19/2023,TRUE
2021-2157,3,213,33.76944,-93.64815,7/26/2023 11:53,TRUE,9/19/2023,TRUE
2021-2130,6,214,32.89212,-92.36307,7/26/2023 11:25,TRUE,9/19/2023,TRUE
2021-2167,2,215,33.65793,-93.17241,7/26/2023 11:24,TRUE,9/19/2023,TRUE
2021-2158,7,216,33.76862,-93.64829,7/26/2023 11:23,TRUE,9/19/2023,TRUE
2021-2139,10,217,32.89093,-92.36458,7/26/2023 11:48,TRUE,9/19/2023,TRUE
2021-2132,9,218,32.89226,-92.36326,7/26/2023 11:50,TRUE,9/19/2023,TRUE
2021-2172,4,219,33.70817,-93.08442,7/26/2023 11:51,FALSE,9/19/2023,FALSE
2021-2131,4,220,32.8922,-92.36298,7/26/2023 11:54,FALSE,9/19/2023,FALSE
2021-2159,3,221,33.76846,-93.64827,7/26/2023 11:57,TRUE,9/19/2023,TRUE
2021-2143,4,222,32.8914,-92.36477,7/26/2023 12:00,FALSE,9/19/2023,FALSE
2021-2168,2,223,33.65779,-93.17231,7/26/2023 12:04,FALSE,9/19/2023,FALSE
2021-2174,2,224,33.71116,-92.99714,7/26/2023 12:07,TRUE,9/19/2023,TRUE
2021-2157,5,225,33.76944,-93.64815,7/26/2023 12:09,TRUE,9/19/2023,TRUE
2021-2138,6,226,32.89079,-92.3645,7/26/2023 12:10,TRUE,9/19/2023,TRUE
2021-2172,5,227,33.70817,-93.08442,7/26/2023 12:12,FALSE,9/19/2023,FALSE
2021-2154,6,228,33.73685,-93.8604,7/26/2023 12:14,TRUE,9/19/2023,TRUE
2021-2136,3,229,32.89223,-92.36307,7/26/2023 12:15,FALSE,9/19/2023,FALSE
2021-2155,3,230,33.7368,-93.8604,7/26/2023 12:18,FALSE,9/19/2023,FALSE
2021-2135,5,231,32.89231,-92.36312,7/26/2023 12:19,FALSE,9/19/2023,FALSE
2021-2158,3,232,33.76862,-93.64829,7/26/2023 12:20,TRUE,9/19/2023,TRUE
2021-2164,6,233,33.76945,-93.64848,7/26/2023 12:21,TRUE,9/19/2023,TRUE
2021-2142,4,234,32.89142,-92.36463,7/26/2023 12:22,TRUE,9/19/2023,TRUE
2021-2135,3,235,32.89231,-92.36312,7/26/2023 12:23,TRUE,9/19/2023,TRUE
2021-2129,7,236,32.89208,-92.36302,7/26/2023 12:23,TRUE,9/19/2023,TRUE
2021-2135,9,237,32.89231,-92.36312,7/26/2023 12:24,TRUE,9/19/2023,TRUE
2021-2128,5,238,31.64054,-89.55792,7/26/2023 12:25,FALSE,9/19/2023,FALSE
2021-2166,6,239,33.65819,-93.17102,7/26/2023 12:27,FALSE,9/19/2023,FALSE
2021-2160,7,240,33.76776,-93.6483,7/26/2023 12:28,TRUE,9/19/2023,TRUE
2021-2155,2,241,33.7368,-93.8604,7/26/2023 12:29,TRUE,9/19/2023,TRUE
2021-2134,8,242,32.89236,-92.3632,7/26/2023 12:32,TRUE,9/19/2023,TRUE
2021-2136,2,243,32.89223,-92.36307,7/26/2023 12:30,FALSE,9/19/2023,FALSE
